Date,Category,Product Name,Product Color,ID,Original Price,Sale Price,Promotion,Extra Promotion
12/7/2019,Mens Jeans,Straight Jeans,Medium,22193819,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Skinny Sateen Pants,Cream,38035939,$78 ,$46.80 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Jeans,Skinny Jeans,Medium,20627824,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Athletic Skinny Jeans,Dark Wash,17658319,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Bootcut Jeans,Dark Wash,35504845,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Athletic Skinny Jeans,Black,20627822,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Straight Jeans,Rinse,11968343,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Bootcut Jeans,Dark Wash,9847866,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Skinny Jeans,Dark Wash,20627823,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Straight Jeans,Light,35504838,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Jeans,Skinny Jeans,Black,20627825,$78 ,$39 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
